Date,Actual,ARIMA_Forecast,Prophet_Forecast,Hybrid_Forecast
2019-04-14,0,28.148055631222704,5.4513846815338525,16.799720156378278
2019-04-21,0,19.436673812525846,19.512201304596633,19.47443755856124
2019-04-28,0,19.89787398666762,32.67772999430271,26.287801990485164
2019-05-05,36,25.18210380857214,39.89372910779879,32.537916458185464
2019-05-12,0,24.917640920032433,38.59607899820962,31.756859959121027
2019-05-19,0,22.700398408073045,30.50461969565425,26.60250905186365
2019-05-26,0,22.511415493143883,21.001715884947707,21.756565689045793
2019-06-02,25,23.56023840930328,15.466343533823343,19.51329097156331
2019-06-09,4,23.724180220910714,15.195562637396545,19.45987142915363
2019-06-16,0,23.26574793947716,17.1254904393754,20.19561918942628
2019-06-23,0,23.143856874971316,18.0549336370264,20.599395255998857
2019-06-30,0,23.34520807416497,18.59194014294647,20.96857410855572
2019-07-07,29,23.41921063342804,21.68058276882089,22.549896701124467
2019-07-14,0,23.333766325739187,27.0613498209105,25.197558073324842
2019-07-21,0,23.291642953150507,28.945479546966858,26.118561250058683
2019-07-28,0,23.32711382734994,21.338614704469073,22.332864265909507
2019-08-04,29,23.349757488494852,5.9663465150334964,14.658052001764174
2019-08-11,0,23.335550106678667,-6.941601194807076,8.196974455935795
2019-08-18,0,23.323807943314367,-7.654689127835056,7.834559407739656
2019-08-25,0,23.329258025325817,3.241447852763512,13.285352939044664
2019-09-01,11,23.335165279389468,15.296297107552963,19.315731193471215
2019-09-08,7,23.33320612048644,18.928171308630304,21.130688714558374
2019-09-15,0,23.33030616222783,14.592261896008447,18.96128402911814
2019-09-22,0,23.33093865419132,10.200234690647058,16.76558667241919
2019-09-29,0,23.332331597001275,10.420975331838356,16.876653464419817
2019-10-06,16,23.3321698218065,11.136781851993323,17.23447583689991
2019-10-13,0,23.331513896201514,5.925766176852587,14.62864003652705
2019-10-20,0,23.33152748356402,-3.610954546924997,9.860286468319511
2019-10-27,0,23.3318305418972,-7.22240444492669,8.054713048485254
2019-11-03,11,23.331852405817493,2.7794417092453862,13.05564705753144
